Compound Name,L-Glycine,L-Alanine,L-Serine,L-Proline,L-Valine,L-Threonine,L-Cysteine,L-Isoleucine,L-Leucine,L-Aspartic Acid,L-Asparagine,L-Glutamine,L-Lysine,L-Glutamate,L-Methionine,L-Histidine,L-Phenylalanine,L-Arginine,L-Tyrosine,L-Tryptophan
Formula,C2 H5 N O2,C3 H7 N O2,C3 H7 N O3,C5 H9 N O2,C5 H11 N O2,C4 H9 N O3,C3 H7 NO2 S,C6 H13 N O2,C6 H13 N O2,C4 H7 N O4,C4 H8 N2 O3,C5 H10 N2 O3,C6 H14 N2 O2,C5 H9 N O4,C5 H11 N O2 S,C6 H9 N3 O2,C9 H11 N O2,C6 H14 N4 O2,C9 H11 N O3,C11 H12 N2 O2
Mass,75.032 ,89.049 ,105.043 ,115.064 ,117.079 ,119.057 ,121.020 ,131.095 ,131.095 ,133.038 ,132.056 ,146.069 ,146.110 ,147.053 ,149.051 ,155.071 ,165.079 ,174.112 ,181.079 ,204.085 
RT,6.51 ,5.88 ,7.00 ,5.52 ,5.43 ,6.51 ,5.88 ,4.81 ,4.97 ,6.92 ,7.09 ,6.94 ,8.40 ,6.61 ,5.29 ,8.27 ,4.83 ,8.22 ,5.58 ,4.92 
CAS ID,56-40-6,56-41-7,56-45-1,147-85-3,72-18-4,72-19-5,52-90-4,73-32-5,61-90-5,56-84-8,70-47-3,56-85-9,56-87-1,56-86-0,63-68-3,71-00-1,63-91-2,74-79-3,60-18-4,73-22-3
C1,/,/,8015 ,438652 ,119911 ,52105 ,/,149148 ,88340 ,1819 ,5968 ,166569 ,134864 ,32991 ,2532 ,161017 ,164242 ,179165 ,23659 ,60191 
C2,/,/,6674 ,329691 ,158405 ,41776 ,/,228056 ,120885 ,2155 ,6133 ,148768 ,156288 ,26359 ,2826 ,259221 ,170646 ,153608 ,16552 ,84854 
C3,/,/,8631 ,849570 ,144147 ,40839 ,/,139036 ,58165 ,1811 ,5767 ,161700 ,168670 ,24392 ,2782 ,276856 ,148709 ,184809 ,16935 ,70039 
C4,/,/,6446 ,301394 ,124994 ,50312 ,/,138408 ,130895 ,1242 ,5144 ,165303 ,163314 ,32243 ,2457 ,284832 ,127746 ,170931 ,15928 ,90906 
C5,/,/,6945 ,368445 ,146694 ,47885 ,/,145329 ,79105 ,1815 ,3104 ,123069 ,144301 ,25031 ,2733 ,247130 ,220289 ,186357 ,15056 ,63296 
C6,/,/,9862 ,440609 ,125369 ,84583 ,/,139424 ,70431 ,2604 ,7880 ,162942 ,198568 ,35550 ,3856 ,239001 ,169147 ,284383 ,19747 ,76158 
C7,/,/,9917 ,340825 ,168495 ,71052 ,/,195388 ,93814 ,4772 ,7284 ,110792 ,266349 ,40235 ,2681 ,432697 ,189832 ,240426 ,21703 ,93991 
C8,/,/,5338 ,229102 ,109145 ,40383 ,/,98946 ,46366 ,2935 ,3159 ,126860 ,107671 ,28776 ,1986 ,216805 ,105780 ,124665 ,13953 ,79513 
C9,/,/,4790 ,631572 ,121775 ,53743 ,/,119576 ,60747 ,3282 ,4868 ,168295 ,132573 ,36087 ,2540 ,286388 ,134770 ,174901 ,17304 ,70322 
C10,/,/,11123 ,284991 ,140323 ,63806 ,/,161393 ,74107 ,2199 ,4755 ,130684 ,150676 ,15719 ,2293 ,327681 ,138835 ,184651 ,17809 ,80554 
C11,/,/,9043 ,370138 ,154404 ,89891 ,/,221471 ,104138 ,2996 ,8490 ,158137 ,219889 ,32111 ,2938 ,340054 ,174499 ,317823 ,22366 ,73718 
C12,/,/,6727 ,302859 ,100659 ,44427 ,/,82985 ,43345 ,2711 ,4260 ,132023 ,125115 ,35540 ,2580 ,246616 ,125543 ,164561 ,14719 ,59059 
C13,/,/,8863 ,404494 ,117020 ,48681 ,/,147052 ,85113 ,1928 ,5020 ,173608 ,169677 ,22619 ,2800 ,278504 ,168170 ,248043 ,16451 ,80255 
C14,/,/,7261 ,730564 ,143695 ,60163 ,/,140760 ,74845 ,2243 ,3120 ,120792 ,161589 ,24997 ,2606 ,239556 ,139365 ,204274 ,17176 ,77063 
C15,/,/,7576 ,491949 ,165039 ,77877 ,/,197063 ,103085 ,2893 ,5420 ,103056 ,236594 ,47175 ,1937 ,318878 ,186644 ,291459 ,19430 ,62389 
C16,/,/,8215 ,435372 ,198996 ,52048 ,/,237479 ,114847 ,1739 ,6562 ,144763 ,242441 ,42324 ,2998 ,394054 ,220289 ,258684 ,29318 ,81867 
C17,/,/,7394 ,339240 ,154208 ,52766 ,/,203428 ,106225 ,1911 ,3851 ,140914 ,171985 ,29128 ,2241 ,276490 ,196537 ,209608 ,23709 ,79453 
C18,/,/,8706 ,310214 ,157706 ,33972 ,/,201453 ,108202 ,5358 ,5910 ,167083 ,293095 ,45047 ,1499 ,242344 ,128171 ,192943 ,17169 ,48751 
C19,/,/,5841 ,337956 ,103650 ,41021 ,/,116037 ,58607 ,2329 ,6148 ,150658 ,158724 ,40082 ,2278 ,311575 ,158252 ,183421 ,17006 ,76845 
C20,/,/,6469 ,416062 ,172598 ,60326 ,/,168639 ,87421 ,2007 ,5666 ,165584 ,205110 ,37343 ,2805 ,354437 ,186595 ,209894 ,19239 ,85613 
C21,/,/,9315 ,506978 ,162839 ,76959 ,/,173584 ,88337 ,2951 ,6228 ,155355 ,152645 ,31774 ,1902 ,215061 ,145851 ,133684 ,14026 ,58346 
C22,/,/,6707 ,361674 ,165223 ,41036 ,/,197150 ,83144 ,2408 ,5290 ,137890 ,182425 ,31411 ,2881 ,204926 ,175284 ,204680 ,20446 ,74689 
C23,/,/,8048 ,397224 ,181049 ,45407 ,/,242125 ,158823 ,2776 ,4895 ,166767 ,267162 ,44481 ,2659 ,236074 ,186493 ,256973 ,24671 ,100276 
C24,/,/,7950 ,562823 ,204844 ,83305 ,/,309796 ,149519 ,2288 ,8080 ,150740 ,299099 ,45714 ,3128 ,366685 ,235258 ,219906 ,24588 ,78044 
C25,/,/,8149 ,517138 ,165896 ,50200 ,/,214378 ,90926 ,2771 ,6675 ,179231 ,241822 ,37966 ,2546 ,343063 ,226654 ,295803 ,24955 ,72223 
C26,/,/,9684 ,432935 ,191258 ,55064 ,/,265565 ,106750 ,3035 ,3508 ,171737 ,298242 ,53134 ,1531 ,308952 ,200170 ,314838 ,26357 ,86298 
C27,/,/,5385 ,335349 ,116705 ,39212 ,/,127908 ,67299 ,2933 ,1571 ,126474 ,143549 ,35024 ,2012 ,202870 ,141257 ,160685 ,14509 ,73921 
